"#","Reference","Qty","Value","Footprint","DNP","SUPPLIER 3","SUPPLIER PART NUMBER 3"
"1","C1, C16, C17, C18, C24, C25, C28, C31, C34, C37, C40, C43, C46, C49, C52","15","0.1µF","CAPC1005X05L","","Digi-Key","399-13707-1-ND"
"2","C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15","14","2.2µF","CAPC1005X05L","","Digi-Key","490-12532-1-ND"
"3","C19","1","10µF","CAPC3225X140N","","Digi-Key","587-1818-1-ND"
"4","C20, C22","2","2.2µF","CAPC1005X05L","","Digi-Key","587-1453-1-ND"
"5","C21","1","0.01µF","CAPC1005X05L","","Digi-Key","490-4762-1-ND"
"6","C23","1","47µF","CAPC2012X135N","","Digi-Key","490-9960-1-ND"
"7","C26, C35, C44","3","4.7µF","CAPC1005X05L","","Digi-Key","490-5915-1-ND"
"8","C27, C36, C45","3","1µF","CAPC1005X05L","","Digi-Key","1276-1067-1-ND"
"9","C29, C30, C32, C33, C38, C39, C41, C42, C47, C48, C50, C51","12","1µF","CAPC1608X87N","","Digi-Key","1276-1860-1-ND"
"10","D1","1","Red","WL-SMCC_0402 R","","Digi-Key","732-11991-1-ND"
"11","D2","1","TPD4E05U06QDQARQ1","DQA0010A","","Digi-Key","296-40696-1-ND"
"12","D3","1","Blue","WL-SMCC_0402 B","","Digi-Key","732-11989-1-ND"
"13","D4","1","Green","WL-SMCC_0402 G","","Digi-Key","732-11992-1-ND"
"14","L1","1","BKP1005HS221-T","INDC1005X55N","","Digi-Key","587-2088-1-ND"
"15","L2","1","BLM15PD600SN1D","INDC1005X55N","","Digi-Key","490-5201-1-ND"
"16","P1","1","BM03B-GHS-TBT","JST_BM03B","","Digi-Key","455-1579-1-ND"
"17","Q1, Q2, Q3, Q4, Q5, Q6","6","EPC2021","EPC2x40XL","","Digi-Key","917-1089-6-ND"
"18","R1, R7","2","10k","RESC1005X04L","","Digi-Key","541-3959-1-ND"
"19","R2, R3, R6, R15","4","2k2","RESC1005X04L","","Digi-Key","P2.20KLCT-ND"
"20","R4, R5, R10, R17, R19, R21","6","4k99","RESC1005X04L","","Digi-Key","P4.99KLCT-ND"
"21","R8, R11","2","330 ohm","RESC1005X04L","","Digi-Key","P330LCT-ND"
"22","R9, R16, R18, R20","4","47k","RESC1005X04L","","Digi-Key","P47.0KLCT-ND"
"23","R12","1","24k3","RESC1005X04L","","Digi-Key","P24.3KLCT-ND"
"24","R13","1","100k","RESC1005X04L","","Digi-Key","P100KLCT-ND"
"25","R14","1","330 ohm","RESC1005X40N","","Digi-Key","P330LCT-ND"
"26","U1","1","TMS320F28062FPNT","PN80-L","","Digi-Key","296-35003-ND"
"27","U2","1","M24C16-FMH6TG","SON40P170X60-6N","","Digi-Key","497-14333-1-ND"
"28","U3","1","LMZM23601SILT","SIL0010A","","Digi-Key","296-49460-6-ND"
"29","U4","1","TPS73533DRV","DRV0006A","","Digi-Key","296-39486-2-ND"
"30","U5","1","TJA1051TK/3","SON65P300X100_HS-9N","","Digi-Key","568-8686-1-ND"
"31","U6, U8, U10","3","LMG1205YFXR","YFX0012AHAP","","Digi-Key","296-48589-1-ND"
"32","U7, U9, U11","3","ACS71240KEXBLT-030B3","ACS711EX","","Digi-Key","620-2049-1-ND"
